"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-openssl_303","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-apple_mail_16_0","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-thunderbird_91_9","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"rating_spec","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","100","",""
"protocol_support_score_weighted","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","30","",""
"key_exchange_score","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","90","",""
"key_exchange_score_weighted","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","27","",""
"cipher_strength_score","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","60","",""
"cipher_strength_score_weighted","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","24","",""
"final_score","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","81","",""
"overall_grade","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","A+","",""
